Reviewer Name,Rating,Review,Date,Review_english,Sentiment
T. L,,"I’m a client of this team hortons since day one they open their door. All employees are fine except one that charges always 1$ extra for combo timatin. And instead of correcting her mistake, she keeps arguing instead of listening to…",il y a 4 mois,im a client of this team hortons since day one they open their door all employees are fine except one that charges always 1 extra for combo timatin and instead of correcting her mistake she keeps arguing instead of listening to,Negative
Flowerpower,,"Dirty, disgusting Tim Hortons. Where are the health inspectors? This place should be shut down. Cockroaches running around, moldy food, insects in food. Look at the other reviews.",il y a 3 semaines,dirty disgusting tim hortons where are the health inspectors this place should be shut down cockroaches running around moldy food insects in food look at the other reviews,Negative
khalil farehane (BLVCKVNCKOR),,"Service médiocre : après 21h, lorsque vous demandez un espresso, on vous informe que la machine à café est en panne. Ce n'est pas la première fois que cela arrive ; c'est en fait la troisième occurrence de ce problème",il y a 2 mois,poor service after 9 p.m. when you ask for an espresso you are informed that the coffee machine is broken this is not the first time this has happened it is in fact the third occurrence of this problem,Negative
Léa B.,4,"Bon beignet même si c'est très sucré ! J'ai pris celui à l'érable et noix de pécan.
On a été un dimanche après midi alors il n'y avait pas grand monde, le service a été rapide.",il y a un an,"good donut even if it's very sweet I took the maple and pecan one
it was a Sunday afternoon so there weren't many people, the service was fast",Positive
Jennifer,,Ne parle pas français : inadmissible. Même pas un merci. Un je m’en foutisme des clients. Très peu représentatif de Montréal. Désolant.,il y a un mois,does not speak French unacceptable not even a thank you a I don't care about the customers very unrepresentative of Montreal sad,Negative
Mat Malette,,"La nourriture était sec, brûlé et pas préparé avec ma commande mobile. Plus de 15 minutes de retard pour se faire servir avec un anglais cassé et sans français évidemment....",il y a 4 semaines,the food was dry burnt and not prepared with my mobile order more than 15 minutes late to be served with broken English and without French obviously,Negative
Terry Steben,2,"The coffee, donuts and timbits are fine. But the breakfast wraps and sandwiches are literally inedible. Just awful!",il y a 2 mois,the coffee donuts and timbits are fine but the breakfast wraps and sandwiches are literally inedible just awful,Negative
SPH,4,"its fast food coffee, donuts, sandwiches.

for americans the comparable is Dunkin, and this place has it beat in coffee (much better), and donuts (again, better).",il y a un an,"its fast food coffee donuts sandwiches

for americans the comparable is dunkin and this place has it beat in coffee much better and donuts again better",Positive
Jasmeen Kaur,,"On Google, it says that this Tim HORTONS is open and when I went there it was closed. Cherry on top, the employee was sleeping inside. Either, change your timings on Google according to the actual working hours or it was just the employee who forgot to open the store on time.",il y a 3 mois,on google it says that this tim hortons is open and when i went there it was closed cherry on top the employee was sleeping inside either change your timings on google according to the actual working hours or it was just the employee who forgot to open the store on time,Negative
Chris Brown,,Well I can't say much for the staff I was trying to be polite to and they just stood and stared at me. I ordered a double double like millions have before me and it took an unusual amount of time to make. It's a double double. Snap to it! I…,il y a 6 mois,well i cant say much for the staff i was trying to be polite to and they just stood and stared at me i ordered a double double like millions have before me and it took an unusual amount of time to make its a double double snap to it i,Negative
David Chen,4,Very good location within the downtown area. The store itself is quite spacious and provides a good amount of space for people to sit. The workers and staff are friendly. Location is also close by to many other stores and areas which makes it convenient. Their donuts are far more better than dunkin donuts and that glaze is on point.,il y a 6 ans,very good location within the downtown area the store itself is quite spacious and provides a good amount of space for people to sit the workers and staff are friendly location is also close by to many other stores and areas which makes it convenient their donuts are far more better than dunkin donuts and that glaze is on point,Positive
Sissi Liu,,The laitues they put in sandwiches are rotten !!!!!!  It tastes musty !!! It’s disgusting,il y a 9 mois,the laitues they put in sandwiches are rotten   it tastes musty  its disgusting,Negative
Yuvy Goodtime,3,"Service is very slow, the place sometimes stink a weird coffee odour, the doors are locked on the opposite and they forgot to put sausage in our 4 wraps…",il y a 2 ans,service is very slow the place sometimes stink a weird coffee odour the doors are locked on the opposite and they forgot to put sausage in our 4 wraps,Negative
Scenario,5,"This is a great Tim Hortons. The coffee was excellent, hot and tasty as it always is here, and the Tim Matin hit the spot. As a bonus on this Easter Sunday I tried an amazing chocolate donut with a special topping that was perfectly fresh…",il y a un an,this is a great tim hortons the coffee was excellent hot and tasty as it always is here and the tim matin hit the spot as a bonus on this easter sunday i tried an amazing chocolate donut with a special topping that was perfectly fresh,Positive
Luc Therriault,2,"La nourriture est correcte. Le personnel est sympathique, mais ne parle pas français, et ce, auprès d'une clientèle largement francophone. Ils/elles obligent tous les clients à s'adapter à eux/elles. C'est plutôt inconfortable. De plus, les toilettes sont sales et mal approvisionnées.",il y a un an,the food is ok the staff is friendly but do not speak French and this with a largely French-speaking clientele they force all customers to adapt to them it is rather uncomfortable in addition the toilets are dirty and poorly stocked,Negative
J. G,,"J'allais prendre ma pause la depuis 8 ans, mais depuis j'ai vue coquerelle qui ce baladait sur la hote a panini, c'est fini..
Je l'ai montrée a l'employé et aucune réaction.…",il y a 9 mois,"I was going to take my break there for 8 years but since then I saw a cockroach wandering around on the panini host, it's over
I showed it to the employee and no reaction",Negative
Stephanie Rong,,"The service was very rude and bad. the waitress at night didn't handle the cakes like other shops, causing all the cream on my dessert to congeal on the paper bag，and I threw the meal directly on the table, never go again.",il y a 10 mois,the service was very rude and bad the waitress at night didnt handle the cakes like other shops causing all the cream on my dessert to congeal on the paper bagand i threw the meal directly on the table never go again,Negative
Lazarin Mikov,2,"The cashier simply didn't care about the Tim bits we wanted and threw in whatever she wanted.
Makes a Tim Hortons fan like me enjoy Tim Hortons less...",il y a 8 mois,"the cashier simply didnt care about the tim bits we wanted and threw in whatever she wanted
makes a tim hortons fan like me enjoy tim hortons less",Negative
Zhuo Gao,,"Worst Tim location, just check this wrap. And the coffee is just burned, even the French vanilla too for some reason, can someone please explain me.",il y a 2 ans,worst tim location just check this wrap and the coffee is just burned even the french vanilla too for some reason can someone please explain me,Negative
Tim Fischer,,"Unbelievable , we have 2023 and Tim Horton can’t update there schedules online! That is a very poor customer service. Super Disappointed. Better you close your business you are not worth the money and time wasted",il y a un an,unbelievable  we have 2023 and tim horton cant update there schedules online that is a very poor customer service super disappointed better you close your business you are not worth the money and time wasted,Negative
Mahmoud El-Nahal,,"This rating is not because service is not good, service was good, my problem that i think during my time of visit 31/12/2022 13:00 Montreal time, there was ladys working and one guy in serivce and i think the guy treating and bothering the…",il y a un an,this rating is not because service is not good service was good my problem that i think during my time of visit 31122022 1300 montreal time there was ladys working and one guy in serivce and i think the guy treating and bothering the,Negative
Manpreet kaur,,I have been there several times but the food is not good even the single time. Most times the bagel is cold or sometimes its over toasted. It is near to my workplace to its accessible but the services is really unsatisfied.,il y a un an,i have been there several times but the food is not good even the single time most times the bagel is cold or sometimes its over toasted it is near to my workplace to its accessible but the services is really unsatisfied,Negative
Franck Libert,,"Tim Ortons, c'est Tim Ortons.

Mais ici,  c'est n'importe quoi : personnel avec lequel il est difficile de se…",il y a 11 mois,"tim ortons it's tim ortons

but here it's personal nonsense that's hard to get along with",Negative
Jim C,,"Bonjour, je suis allé avec ma mère prendre un café, alors que je regardais le menu sur leurs télévisions, les dames m'ont fait pression pour prendre ma commande. Puis ils ont rigolé entre eux je n'ai pas compris pourquoi au début mais ils…",il y a un an,hello I went with my mother to have a coffee while I was watching the menu on their televisions the ladies pressured me to take my order then they laughed among themselves I didn't understand why at first but they,Negative
chams turki,,N'ouvre pas dans le temps indiqué,il y a un mois,does not open within the specified time,Negative
Julia Montecillo,,We ordered the new breakfast (vegan) sandwich. I was eventually told they ran out (at 8 a.m ?). Substituted our order for another sandwich which cost less than the original order. Was not even offered a refund in the price difference.  😕…,il y a 2 ans,we ordered the new breakfast vegan sandwich i was eventually told they ran out at 8 am  substituted our order for another sandwich which cost less than the original order was not even offered a refund in the price difference,Negative
Denis metcalfe,,"Beaucoup de croûtes à manger pour parler et comprendre le français !
Superbe restaurant mais je n'enverrais jamais un chat ou chien dans leur toilette alors imaginer un humain...les clients devraient s'inquiéter de la propreté dans la cuisine?",il y a 2 ans,"lots of crusts to eat to speak and understand French 
superb restaurant but I would never send a cat or dog into their toilet so imagine a human customers should worry about the cleanliness in the kitchen",Negative
Julien Vigier,,"J'y vais régulièrement car le seul sur mon chemin, mais le service est très mauvais.
Aucune énergie positive, ils oublient sans arrêt de donner le carton autour du…",il y a 2 ans,"I go there regularly because the only one on my way but the service is very bad
no positive energy they keep forgetting to give the cardboard around the",Negative
Jeanne Trudeau,,Le service laisse à désiré. La majorité des employés ne parle pas français et comprennent difficilement les commandes. Je me suis fait charger deux fois ma commande et lorsque je suis revenue pour mentionner ce fait on m'a dit que l'on ne pouvait rien faire. Je boycott cette franchise qui manque de respect envers sa clientèle,il y a 2 ans,the service is poor the majority of employees do not speak French and have difficulty understanding the orders I had my order charged twice and when I came back to mention this fact I was told that nothing could be done I boycotted this franchise which lack of respect towards its customers,Negative
kevin gomez-delgado,,They cannot assume when they were in the wrong for not following a normal order taking procedure then will talk to each other in another language to judge you and talk about you in front of you.,il y a un an,they cannot assume when they were in the wrong for not following a normal order taking procedure then will talk to each other in another language to judge you and talk about you in front of you,Positive
M Ren,,"Just awful. This has got to be the worst Tim Hortons in the city - the girl at the counter gets orders wrong every single time, it would help if she wasn’t alone. Avoid.",il y a 9 mois,just awful this has got to be the worst tim hortons in the city  the girl at the counter gets orders wrong every single time it would help if she wasnt alone avoid,Negative
ultraviolet light,3,"At 21:00, this place had a decent selection of fancy donuts and other items, which is rare. An exhausted employee and a dirty store brought down the experience.",il y a un an,at 2100 this place had a decent selection of fancy donuts and other items which is rare an exhausted employee and a dirty store brought down the experience,Negative
omae mou,,"Worst Tim Horton ever ! Staff didn't speak french, were lost, a weirdo came in the shop and began to do weird things and it was very unpleasant.I won't ever step a foot here.",il y a 11 mois,worst tim horton ever  staff didnt speak french were lost a weirdo came in the shop and began to do weird things and it was very unpleasanti wont ever step a foot here,Negative
Dean Ranger,,"Les comptoirs étaient vides et donc, très peu de choix. Les planchers étaient excessivement sales et les tables n'avaient pas été nettoyées depuis trop longtemps. Le service était médiocre et un des employés ne savait même pas comment faire un latté vanille. Mon café avait un arrière goût de cigarette.",il y a 6 ans,the counters were empty and therefore very few choices the floors were excessively dirty and the tables had not been cleaned for too long the service was poor and one of the employees did not even know how to make a vanilla latte my coffee had an aftertaste of cigarettes,Negative
Mangla Gogna,,Spent 15 -20 minutes waiting for wrap when nobody was in line. 2 girls at sandwich kept asking each other who is going to prepare. Slow service and no customer service gestures.,il y a un an,spent 15 20 minutes waiting for wrap when nobody was in line 2 girls at sandwich kept asking each other who is going to prepare slow service and no customer service gestures,Negative
Thomas Dong,4,Average Tim Hortons. Restaurant was clean but the staff were a bit distracted. Food was good.,il y a 8 mois,average tim hortons restaurant was clean but the staff were a bit distracted food was good,Positive
CC H,3,"Staff need to speak/understand English and French, I feel, I need to learn sign language and I don't want to be a teacher, I just need to get a coffee plus and leave.",il y a 11 mois,staff need to speakunderstand english and french i feel i need to learn sign language and i dont want to be a teacher i just need to get a coffee plus and leave,Negative
Maximo Cardoze,5,Je suis allé à Tim Hortons pour une rencontre avec des amies mais ça avait été cancellé.  L'après-midi était froid alors j'ai commandé un croissant avec de chocolat chaud et  ça me a remis d'aplome.,il y a un an,I went to Tim Hortons for a meeting with friends but it had been canceled the afternoon was cold so I ordered a croissant with hot chocolate and that gave me a boost,Positive
Wesley Alves,,"For sure THE WORST TIM HORTONS IN MONTREAL!

Horrible experience. The staff not prepared and very unfriendly. If they don’t like to work with public, move to another job!!!",il y a 10 mois,"for sure the worst tim hortons in montreal

horrible experience the staff not prepared and very unfriendly if they dont like to work with public move to another job",Negative
Stephanie Scalera,,Disgusting! The person making my sandwich was touching everything including the cash and telephone and then my food. AND I had to insist and ask him to change his gloves and he was trying to justify that he was busy and that it happens sometimes! This is ABSOLUTLY unacceptable! He didn't even know how to make the sandwich I Ordered!,il y a 2 ans,disgusting the person making my sandwich was touching everything including the cash and telephone and then my food and i had to insist and ask him to change his gloves and he was trying to justify that he was busy and that it happens sometimes this is absolutly unacceptable he didnt even know how to make the sandwich i ordered,Negative
Hongye Chen,,"this place is trash， so is the staff there, 1 of 2 times it will mess ur order up.",il y a 9 mois,this place is trash so is the staff there 1 of 2 times it will mess ur order up,Negative
Sean Adlao,5,I love this place it is a great environment to be in! Every morning I come in for a good fresh coffee and my usual beggel! I love the employees they're so friendly although being that there are new ones every time i get why most of them are…,il y a 6 ans,i love this place it is a great environment to be in every morning i come in for a good fresh coffee and my usual beggel i love the employees theyre so friendly although being that there are new ones every time i get why most of them are,Positive
Martha Milioutine,5,Girls working there are always nice and try their best to serve fast with a smile. Never had a bad experience and I got there almost everyday.,il y a un an,girls working there are always nice and try their best to serve fast with a smile never had a bad experience and i got there almost everyday,Positive
Tanner KP,2,"There was a big potty mouth working, wasn’t nice. Also found a lack of love in the drinks especially compared to starbucks.",il y a un an,there was a big potty mouth working wasnt nice also found a lack of love in the drinks especially compared to starbucks,Negative
Kath,,"The worst Tim hortons hands down, the employees are rude and the place is constantly disgusting even though there is no one inside (I wonder why). I've worked in fast food/service and I'm always aware that there might be some issues going…",il y a 2 ans,the worst tim hortons hands down the employees are rude and the place is constantly disgusting even though there is no one inside i wonder why ive worked in fast foodservice and im always aware that there might be some issues going,Negative
Navleen Kaur,,I work over this place for hemal patel and he didn’t give pay on time…worst owner of tim hortons and stupid.,il y a 9 mois,i work over this place for hemal patel and he didnt give pay on timeworst owner of tim hortons and stupid,Negative
Miguel Hernandez,5,"A wrap, a double double and I'm ready to keep my day",il y a 2 mois,a wrap a double double and im ready to keep my day,Positive
Jimmy Speed,,"Depuis le 1er Septembre, il y a deux employés qui ne parlent pas du tout le français et on les place à la caisse. Il ne répondent pas en français et il y a toujours des erreurs dans les commandes. Les café sont soit plein de sucre, lait au…",il y a 5 ans,since September 1st there are two employees who do not speak French at all and we place them at the cash register they do not respond in French and there are always errors in the orders the coffee is either full of milk sugar or,Negative
Valse Tortues Jaunes,,"Très mauvais service. J'y vais souvent car c'est à côté de mon travail. Mais concernant le service a la clientèle, c'est toujours peu satisfaisant. J'ai été ce matin pour un café, et le commis devait me rendre mon change de 25 sous. Je sais…",il y a 5 ans,very bad service I go there often because it's close to my work but regarding customer service it's always unsatisfactory I went this morning for a coffee and the clerk had to give me back my change of 25 cents I know,Negative
xavier Xavier,,Un scandale aucun employé ne parle un mot de français que fait la mairie pour imposer à ces commerces de parler le français et un gros manque d’organisation pour récupérer les commandes !!!,il y a 9 mois,a scandal no employee speaks a word of French what the town hall is doing to force these businesses to speak French and a big lack of organization to collect orders,Negative
Myriam Gosselin,,les portes portent à confusion. la salubrité est laissée pour compte. la nourriture est glaciale. le lait au chocolat ne rempli pas sa fonction d’hydratation. les employés ne choisissent pas la voie de la politesse. le papier qui enrobe les…,il y a 2 ans,the doors are confusing the safety is neglected the food is freezing the chocolate milk does not fulfill its hydration function the employees do not choose the path of politeness the paper which covers the,Negative
Kray Zee,,"Toujours erreurs ds les commandes, le petit asiatique est tjs de mauvaise humeur mais vrm tjs. Ils ne veulent jamais mettre mon miel a l'intérieur de mon cafe comme je le demande. Pas d'accès a la salle de bain. 1 employé sur 4 parle FR.",il y a 3 ans,always errors when ordering the little Asian is always in a bad mood but they always never want to put my honey inside my coffee as I ask no access to the bathroom 1 employee out of 4 speaks French,Negative
Dany,4,I always order the same thing and its always perfect but whenever i order food There is always huge mistakes and most of the Time they dont have any more White bread.... It lasts 12 hours and take 5 minutes to bake how can it happen. Then…,il y a 4 ans,i always order the same thing and its always perfect but whenever i order food there is always huge mistakes and most of the time they dont have any more white bread it lasts 12 hours and take 5 minutes to bake how can it happen then,Negative
Bass Galipeault,3,"Tim correct. Malheureusement, moi et mon ami avons commandé un bagel plein goût et nous avons reçu un bagel blé entier. De plus, mon amie a une petite bouche et elle a reçu un bagel non coupé, la privant ainsi de son repas.",il y a 2 ans,tim correct unfortunately me and my friend ordered a full flavor bagel and we received a whole wheat bagel plus my friend has a small mouth and she received an uncut bagel thus depriving her of her meal,Negative
Madhu Kalle,,"I stood there for 5 minutes and there were a couple of Indian guys behind the counter. They didn’t even bother about taking my order. Worst Tim Hortons ever. Being an Indian myself, it sucks to write this review.",il y a 4 ans,i stood there for 5 minutes and there were a couple of indian guys behind the counter they didnt even bother about taking my order worst tim hortons ever being an indian myself it sucks to write this review,Negative
Asma Senouci,3,"L'équipe est gentille mais elle n'est pas efficace, il manque de choix de nourriture salée sur leurs menus (au contraire des autres succursales).
Une succursale pour un dépannage rapide d'un café, pas plus.",il y a 6 ans,"the team is nice but it is not efficient there is a lack of choice of salty food on their menus unlike other branches
a branch for quick repair of a coffee no more",Negative
Didier Lindor,3,"The food selection was still good despite being mid-afternoon, the assistant was friendly. Unfortunately the facilities (toilet) were gross. 👎🏾…",il y a un an,the food selection was still good despite being midafternoon the assistant was friendly unfortunately the facilities toilet were gross,Negative
Edwin Sermonia,5,"I come in regularly for my classic double-double and I must say, service is always delightful! The manager looks like a badass bollywood actor. I would definitely suggest giving this Tim Hortons a try!",il y a 5 ans,i come in regularly for my classic doubledouble and i must say service is always delightful the manager looks like a badass bollywood actor i would definitely suggest giving this tim hortons a try,Positive
Cecilia Calderon,,Terrible! J'ai commandé un café-moka et c'est juste de l'eau. Dégoûtant. Le restaurant sale et le gars n'était pas gentil ni courtois. S'il n'est pas heureux qu'il cherche un boulot ailleurs,il y a 3 ans,terrible I ordered a cafémoka and it's just disgusting water the dirty restaurant and the guy wasn't nice or courteous if he's not happy he's looking for a job elsewhere,Negative
Patrick Robert,,Don’t about the daytime service but at night it’s horrible. They don’t wanna serve any meals. Tonight we went there and no coffee at 00:00!!! I mean come on. A few years ago it was a good place but not anymore.  AVOID.! There is another one corner st-urbain - ste Catherine. Go there.,il y a 4 ans,dont about the daytime service but at night its horrible they dont wanna serve any meals tonight we went there and no coffee at 0000 i mean come on a few years ago it was a good place but not anymore  avoid there is another one corner sturbain  ste catherine go there,Negative
Faraz Ahmed,,I will not write about coffee or service but I didn't like the management system  as they don't hire properly I was embarrassed the way they call me for interview asked me lot of questions also and I replied positively the next two days…,il y a 5 ans,i will not write about coffee or service but i didnt like the management system  as they dont hire properly i was embarrassed the way they call me for interview asked me lot of questions also and i replied positively the next two days,Negative
Lilian Galloway,5,The best taste in any other place,il y a un an,the best taste in any other place,Positive
lakhpreet kaur,,Very bad service . After ordering just coffee i had to wait 10 to 15 minutes. Even wait a long i didnot get my coffee . There was so much employees but service was unsatisfy.,il y a 2 ans,very bad service  after ordering just coffee i had to wait 10 to 15 minutes even wait a long i didnot get my coffee  there was so much employees but service was unsatisfy,Negative
lucie,,C'est la première fois que je commande un grilled cheese au Bacon et qu'il n'y a pas de Bacon dedans!!! Sérieux un peu d'effort!!!,il y a un an,"This is the first time I've ordered a bacon grilled cheese and there's no bacon in it, seriously, a little effort",Negative
Ryan C,5,"Very nice Tim Hortons. We visited twice. Unfortunately, the first time we went, they didn’t have glazed Timbits. Their berry smoothie is very good.",il y a 4 ans,very nice tim hortons we visited twice unfortunately the first time we went they didnt have glazed timbits their berry smoothie is very good,Positive
Jean-Marc Gratton,,Le personnel était incapable de comprendre ma commande en français. La préposée m’a demandé de parler en anglais. Je crois que c’est inacceptable au Québec.,il y a un an,the staff was unable to understand my order in French the attendant asked me to speak in English I believe this is unacceptable in Quebec,Negative
William A,,"Both employees don't speak a word of French and barely even seem to understand English, a struggle to order something that's literally right there on the menu.",il y a un an,both employees dont speak a word of french and barely even seem to understand english a struggle to order something thats literally right there on the menu,Negative
Karla G,2,"I love Tim Hortons coffee but the experience is horrible all the time the tables are really nasty, actually all the place is nasty, a guy sitting next to me was cleaning his feet and he throw  the paper in the floor and also put it in the table.. Just imagine situations like this and they don't clean the tables where you eat 🤢…",il y a 4 ans,i love tim hortons coffee but the experience is horrible all the time the tables are really nasty actually all the place is nasty a guy sitting next to me was cleaning his feet and he throw  the paper in the floor and also put it in the table just imagine situations like this and they dont clean the tables where you eat,Negative
Mathieu Guimond-Morganti,,"This location is quite possibly the most mindboggingly poorly conceived coffee shop ever. You have to wait in 4 different queues just to get your order: one to order, another one to pay (something that would otherwise take mere seconds), a…",il y a 7 ans,this location is quite possibly the most mindboggingly poorly conceived coffee shop ever you have to wait in 4 different queues just to get your order one to order another one to pay something that would otherwise take mere seconds a,Negative
D Berkane,,"C’est vraiment le dernier des derniers des services du monde. Ils ne comprennent, il se trompent de commande, pas de sourire, c’est la troisième fois que je viens ici et c’est la dernière fois. Se tromper trois de ma commande je trouve ça exagéré.",il y a 2 ans,it's really the last of the last of the services in the world they don't understand they got their order wrong don't smile it's the third time I've come here and it's the last time getting my order wrong three times I find it exaggerated,Negative
Haydee naomi Cortes garcia,,"Terrible service de la caissières Sofia et de sa collègue qui, hispanophones, se sont moqués de mon accent et du temps qu'il m'a fallu pour demander ma commande.",il y a un an,terrible service from the cashiers Sofia and her Spanish-speaking colleague who made fun of my accent and the time it took me to ask for my order,Negative
Imed Elasmi,,"Ce soir j'ai commandé et payé 2 cafés latté malheureusement la machine ne marche pas alors le serveur m'a dit de prendre autre chose, j'ai refusé et lui ai dit de me rendre l'argent, il m'a dit qu'il ne peut pas me rendre l'argent,la caisse…",il y a 6 ans,"Tonight I ordered and paid for 2 lattes, unfortunately the machine doesn't work so the waiter told me to get something else. I refused and told him to give me back the money. He told me he couldn't give me back the money. The cash register",Negative
Kubra Murz,4,L’employée à la caisse était souriante et serviable! Le service était assez rapide aussi malgré que ce soit le matin.,il y a un an,the employee at the cash register was smiling and helpful the service was also quite fast despite it being the morning,Positive
Emrys Taylor,5,Amazing staff! All are super friendly and fast with orders 😄 Definitely my favorite Tims to go to!…,il y a un an,amazing staff all are super friendly and fast with orders  definitely my favorite tims to go to,Positive
Jimmy,5,Nice atmosphere and hygiene. The staff was really friendly . Girl named simran & rubby are hard working.,il y a un an,nice atmosphere and hygiene the staff was really friendly  girl named simran  rubby are hard working,Positive
Michael Berry,2,"This Tim Hortons has reasonably good service, relative to other Tim Hortons outlets in downtown Montreal.…",il y a 8 ans,this tim hortons has reasonably good service relative to other tim hortons outlets in downtown montreal,Positive
Ryan Pollard,4,"Usually provides quick and efficient service, the food is good. Sometimes can get very busy and the service becomes slow, overall still one of the better Tim Hortons around the area.",il y a 6 ans,usually provides quick and efficient service the food is good sometimes can get very busy and the service becomes slow overall still one of the better tim hortons around the area,Positive
Jean-Noël Côté,5,"Ça reste du Tim Horton, mais l'organisation du travail fait que la prise des commandes et la livraisons sont rapides et efficaces. Honnêtement je suis souvent servit en moins d'une minute. Good job les boys!",il y a 4 ans,"it's still Tim Horton but the organization of the work means that order taking and delivery are quick and efficient, honestly I'm often served in less than a minute good job boys",Positive
Vanessa Elizabeth Otiniano Hernandez,5,By far the best Tim’s I’ve seen really clean and friendly staff,il y a un an,by far the best tims ive seen really clean and friendly staff,Positive
Marc M,,Roll up the Rim has started and I go here this morning and take a coffee and the rim is already unrolled and checked. I don`t care much about the prize I care most about someone`s dirty fingers having touched the rim where I put my lips to sip my coffee.,il y a 5 ans,roll up the rim has started and i go here this morning and take a coffee and the rim is already unrolled and checked i dont care much about the prize i care most about someones dirty fingers having touched the rim where i put my lips to sip my coffee,Negative
Michael Tremblay,5,tres bon service un peu lent pour les sandwich mais je suis arrive au rush du lunch.,il y a un an,"very good service, a little slow for the sandwiches but I arrived during the lunch rush",Positive
Muhe Li,3,Kind of slow for fast food restuarants. Waited in line for 5 mins before ordering and then waited 7 mins for my food.,il y a un an,kind of slow for fast food restuarants waited in line for 5 mins before ordering and then waited 7 mins for my food,Negative
Marieve Lacelle,3,"Staff is nice, service is fast, but it happened 3x in 3 weeks that I went there and there were for breakfast and there were no more biscuit before it was even 11. I wish they would have told me before they made me pay for my order",il y a 6 ans,staff is nice service is fast but it happened 3x in 3 weeks that i went there and there were for breakfast and there were no more biscuit before it was even 11 i wish they would have told me before they made me pay for my order,Negative
Mandelanel Mandela,4,Tout est vraiment excellent. Le café moka est un must. Soyez prêt à débourser près de 5$ pour un muffin.,il y a 2 ans,everything is really excellent the mocha coffee is a must be prepared to pay almost 5 for a muffin,Positive
Juan Morency Trudel,2,"Very slow service, had to wait 5 mins when no one in line. Came back 10 minutes later and waited 30 minutes before making my order.",il y a 4 ans,very slow service had to wait 5 mins when no one in line came back 10 minutes later and waited 30 minutes before making my order,Negative
Stephanie Taillon,2,As super propre  mes il a beaucoup de clients  et il son fermer  les toilettes,il y a un an,as super clean but there are a lot of customers and they close the toilets,Positive
Yannick Robert,,Service en français impossible et il se trompe quand même dans la commande,il y a un an,service in French impossible and he still makes a mistake in the order,Negative
