Reviewer Name,Rating,Review,Date,Review_english
Adam Adam,1 étoile,Ne mérite même pas une étoile. Le service est super lourd. Au cœur du Montréal le staff ne parle pas français !!! Salut Québec ! . Le menu affiché rien avoir avec la réalité. Cet endroit est le meilleur exemple pour détruire la marque Tim Hortons. Simplement le désastre.,il y a un an,does not even deserve a star the service is super heavy in the heart of Montreal the staff does not speak French hi Quebec the menu displayed has nothing to do with reality this place is the best example to destroy the Tim Hortons brand simply disaster
Hyejin Lee,1 étoile,"Horrible customer service.. I asked if this drink has caffeine in it THREE times before I ordered and they said no. But when they gave me this drink they said it does have caffeine in it. If I did not ask them again, I was going to have a bad mental health issue. I also did not get any apology.",il y a 8 mois,horrible customer service i asked if this drink has caffeine in it three times before i ordered and they said no but when they gave me this drink they said it does have caffeine in it if i did not ask them again i was going to have a bad mental health issue i also did not get any apology
Hélèna Chabot,5 étoiles,"J’ai spécifiquement demandé mon Tim glacée sans sucre juste pour découvrir qu’il y avait du sucre dans le Tim glacé. En plus, il y a avait trop de pain dans mon club à la Tim. Mais ce n’est pas tout, impossible de s’assoir dans ce restaurant, j’ai du attendre 3 minutes pour m’assoir. Très déçu!",il y a 11 mois,I specifically asked for my iced tim without sugar just to discover that there was sugar in the iced tim plus there was too much bread in my tim club but it's not all impossible to sit in this restaurant I had to wait 3 minutes for massager very disappointed
Dan Ezual,4 étoiles,"Rapide et correct. C'est une exception, je boycotte Tim car souvent ils ne veulent pas donner de factures au service à l'auto, ils tolèrent que des employés ne parlent pas un mot de français et ne répondent pas aux plaintes faites par courriel.",il y a un an,fast and correct this is an exception I boycott tim because they often do not want to give invoices to the drive-thru they tolerate that employees do not speak a word of French and do not respond to complaints made by email
HSM BD,4 étoiles,Excellent service !!,il y a 4 semaines,excellent service
del mai,5 étoiles,Fast service friendly staff friendly and atmosphere busy place with seating area.,il y a 6 mois,fast service friendly staff friendly and atmosphere busy place with seating area
Ayoub Nassifi,4 étoiles,une expérience café agréable avec un service rapide et des saveurs robustes. Un choix solide pour une pause café rapide et satisfaisante.,il y a 7 mois,a pleasant coffee experience with fast service and robust flavors a solid choice for a quick and satisfying coffee break
Maxence,5 étoiles,"Service rapide et cordial. Sandwich excellent et bon rapport qualité prix. Parfait pour une petite collation ou un déjeuner.
Le café est très bon, et il faut essayer le beignet pomme cannelle absolument!",il y a un an,"fast and friendly service excellent sandwich and good value for money perfect for a small snack or lunch
the coffee is very good and you absolutely have to try the apple cinnamon donut"
REALISM,1 étoile,Parle pas un mot de français et a moitié anglais c'était un désastre commandé,il y a 5 mois,don't speak a word of French and half English it was a disaster ordered
Jessica Cuierrier,1 étoile,"Commande DoorDash ou Uber Eat ATTENTION.
Car le restaurant ne suive pas DUTOUT votre commande
Nous avions commandé…",il y a un an,"doordash order or uber eat attention
because the restaurant does not follow your order at all
we had ordered"
Loreen Guerin,1 étoile,"Très décues de ce fast-food ! Ce fast-food mérite zéro étoile ! Deuxième fois dans ce lieu, deuxième fois où il y a pas de potatoes et qu’on nous les encaisse !!! Puis, deuxième fois où le personnels ne parle pas français alors que nous…",il y a un an,very disappointed with this fastfood this fastfood deserves zero stars second time in this place second time where there are no potatoes and we cash them then second time where the staff does not speak French while we
CC H,2 étoiles,"The 2 girls there, hardly speak English and French. Far away from being pro for their simple job.
If the client do not stand correctly :)  in the middle before the counter they will get mad and stare at the client :) :)",il y a un an,"the 2 girls there hardly speak english and french far away from being pro for their simple job
if the client do not stand correctly   in the middle before the counter they will get mad and stare at the client"
Jimmy Jim,4 étoiles,"Nice and clean, but they too don't have danish maple pecane, and I am finding stupid having handicap doors (non usable) and an entrance with 3 steps...",il y a 9 mois,nice and clean but they too dont have danish maple pecane and i am finding stupid having handicap doors non usable and an entrance with 3 steps
Mark Cicekci,4 étoiles,"I love Timmy's, but this particular location handles mobile orders quite badly and is usually not very clean. Half or the majority of the store is usually closed off for no good reason. Not like the nicer, bigger, and better locations you'd find in the more rural areas, outside of downtown.",il y a 2 ans,i love timmys but this particular location handles mobile orders quite badly and is usually not very clean half or the majority of the store is usually closed off for no good reason not like the nicer bigger and better locations youd find in the more rural areas outside of downtown
Fatima Brahima,4 étoiles,"La cuisine est bonne , capichino et autre thé pas trop sucré.
Les serveurs sont gentils mais l'ambiance n'est pas trop ça j'ignore pourquoi",il y a 11 mois,"the food is good capichino and other tea not too sweet
the waiters are nice but the atmosphere is not really that, I don't know why"
Rubén Fagua,1 étoile,The casher always makes a bad face and there are not the products that they are showing on the screens.,il y a 6 mois,the casher always makes a bad face and there are not the products that they are showing on the screens
E T,5 étoiles,10 SUR 10 POUR L'INSALUBRITÉ ET LES TI MOTONS,il y a 2 mois,10 out of 10 for unsanitary conditions and ti motons
Dr. Antony,3 étoiles,"Had to move a passed out fentanyl addict from the front door so we could get in, but other than that the coffee was good.",il y a 10 mois,had to move a passed out fentanyl addict from the front door so we could get in but other than that the coffee was good
Camille Côté-Beaulieu,1 étoile,J’ai dû rappeler 5 fois avant que ma commande soit faite. Le personnel n’est pas en mesure de me répondre et comprendre le français. Vraiment décevant je ne conseil ce Tim Horton à personne voulant un bon service.,il y a un an,I had to call back 5 times before my order was made the staff is not able to answer me and understand French really disappointing I do not recommend this Tim Horton to anyone wanting good service
alonso dávila,1 étoile,"This Tim Hortons is one of the worst in the city, every time staff is with a bad attitude, prepare the food with the least effort and even if you order online they will send you whatever they want not what you ordered.",il y a 11 mois,this tim hortons is one of the worst in the city every time staff is with a bad attitude prepare the food with the least effort and even if you order online they will send you whatever they want not what you ordered
Hamouda Ab,1 étoile,Ils parlent mal au client en plus ils ont fermé à 19:00 malgré c’était indiqué qu’il ferme à 23:00,il y a 6 mois,They speak badly to the customer plus they closed at 1900 despite it being indicated that it closes at 2300
Antonio Cebrian,3 étoiles,Nice coffee chain. Not the best coffee but good in price-quality. The best are the iced cappuccino,il y a 5 ans,nice coffee chain not the best coffee but good in pricequality the best are the iced cappuccino
Miko,1 étoile,They take everytime 20 min to prepare uber orders. Don't order there,il y a 8 mois,they take everytime 20 min to prepare uber orders dont order there
Franck Huberschwiller,5 étoiles,"Toujours un lieu incontournable à toutes heures de la journée
Pour moi c'est en fin d'après-midi pour mon 4h00 ☕🥞…",il y a 4 ans,"always a must-visit place at all times of the day
for me it’s late afternoon for my 4:00 a.m."
Romain Bédard-Roux,1 étoile,"Les employés qui prennent les commandes ne parlent souvent pas du tout français et quand ils le parlent, c'est tellement rudimentaire qu'il est difficile d'être compris. Inacceptable d'être incapable d'être servi en français et ce, dans des nombreux Tim Hortons à Montréal.",il y a 2 ans,the employees who take orders often do not speak French at all and when they do it is so rudimentary that it is difficult to be understood. It is unacceptable to be unable to be served in French and this in many Tim Hortons in Montreal.
Dick Tump (theawesomedick),4 étoiles,"Their donuts are so good ❤️ breakfast was also pretty good, but I would come back for the donuts",il y a 8 mois,their donuts are so good  breakfast was also pretty good but i would come back for the donuts
Gregory Langlois,1 étoile,Lieu sale. Le personnel est aglutiné derrière le comptoir au lieu de nettoyer et ramasser les détritus.,il y a 2 ans,dirty place the staff is crowded behind the counter instead of cleaning and picking up trash
Adam Liu,5 étoiles,"Nice food and service, just too crowded, but still good overall",il y a 8 mois,nice food and service just too crowded but still good overall
Baptiste Huot,1 étoile,"First time at Tim Hortons and last time too. We ordered something that wasn't ready right now so they gave us something else (cheaper of course), so I asked them to give us what we ordered. After 10 waiting minutes we finally had what we…",il y a 5 ans,first time at tim hortons and last time too we ordered something that wasnt ready right now so they gave us something else cheaper of course so i asked them to give us what we ordered after 10 waiting minutes we finally had what we
Chris Brown,4 étoiles,It's a Tims. What can I say more? The coffee went cold fast as it was warm when I received my order.,il y a 9 mois,its a tims what can i say more the coffee went cold fast as it was warm when i received my order
Garry Guenette,4 étoiles,Correct. Content d'avoir un Tim ouvert 24h. La fille semblait être seul alors c'était un peu long mais c normal quand il y a juste une personne pour servir les clients. Le café n'était pas très chaud mais c'était parfait c'est ce que je voulais.,il y a 5 ans,ok happy to have a tim open 24 hours the girl seemed to be alone so it was a bit long but that's normal when there is just one person to serve the customers the coffee was not very hot but it was perfect that's what I wanted
gbmglobal live,5 étoiles,"When you can make my day right you are definitely the best large dark roast black with 1 espresso shot
Tim's the best better than the rest.",il y a un an,"when you can make my day right you are definitely the best large dark roast black with 1 espresso shot
tims the best better than the rest"
Marie-Pier Giroux,4 étoiles,I always loved this tim the staff is very polite but they need someone that clean the tables every minute or napkins on the tables because people always leave crums or coffee  so asked for more napkins  😊👌…,il y a un an,i always loved this tim the staff is very polite but they need someone that clean the tables every minute or napkins on the tables because people always leave crums or coffee  so asked for more napkins
Catherine Haché (Supercatou),3 étoiles,"Quand je demande un thé, ce n'est pas un café que je veux, et l'inverse aussi est vrai. Les employés devraient s'assurer de l'exactitude de la commande.
Et la facture, pourquoi la froissent-ils et la jettent automatiquement? Parce…",il y a 5 ans,"when I ask for tea it's not coffee I want and the opposite is also true the employees should ensure the accuracy of the order
and the invoice why they crumple it and throw it away automatically because"
jean cornett,3 étoiles,"Je n'ait vue aucune prise électrique pour recharger tel ou laptop
Service rapide . Pas bk d'espace pour l'intérieur mais de grande table à l'extérieur avec parasol",il y a un an,"I saw no electrical outlet to recharge my phone or laptop
fast service no space inside but large table outside with parasol"
Navleen Kaur,1 étoile,Worst owner and supervisors over there…mannerless and don’t give pay on time. Zero stars for shameless people over there.,il y a 8 mois,worst owner and supervisors over theremannerless and dont give pay on time zero stars for shameless people over there
Greg Kokjian,4 étoiles,"Tried the strawberry / watermelon drink, it tastes like strawberry, refreshing, not very sweet!",il y a 3 ans,tried the strawberry  watermelon drink it tastes like strawberry refreshing not very sweet
Emmanuel Tremblay,2 étoiles,"This Timmies feels more like a wannabe bootleg more than anything.

You want a simple order? Too bad they'll probably mess it up or take forever.…",il y a 2 ans,"this timmies feels more like a wannabe bootleg more than anything

you want a simple order too bad theyll probably mess it up or take forever"
Paul Abbott,5 étoiles,It's a Timmies so what can you really say that everyone doesn't already expect but the staff were friendly even though I spoke English.,il y a 10 mois,its a timmies so what can you really say that everyone doesnt already expect but the staff were friendly even though i spoke english
A,2 étoiles,ils m’ont pas mis la whipped cream que j’ai payé pour,il y a 7 mois,They didn't put the whipped cream on me that I paid for
Les As Éboueurs Inc,1 étoile,Ce matin on est plusieurs à avoir vu une coquerelle dans le présentoir à verres. Endroit malpropre. Personne ne parle/comprend le français.,il y a un an,"This morning, several of us saw a cockroach in the glass display, messy place, no one speaks, understands French"
christine K.,5 étoiles,Staffs are friendly. Chai tea is good.,il y a un an,staffs are friendly chai tea is good
Mathis Gautreau,1 étoile,"Nothing is good! The service is disaster, they mixed the orders, it's served cold, waitresses are not polite and not professional! Do not go there!!",il y a un an,nothing is good the service is disaster they mixed the orders its served cold waitresses are not polite and not professional do not go there
Andrew Cameron,5 étoiles,"Hate to admit it, but Tim Hortons is better than any coffee chains we have in the US. Solid coffee, but what I found extra special is that they’re donuts tasted very fresh even well past peak hours.",il y a 3 ans,hate to admit it but tim hortons is better than any coffee chains we have in the us solid coffee but what i found extra special is that theyre donuts tasted very fresh even well past peak hours
JOSE RAFAEL RIVAS TRIGO,5 étoiles,"Very good cafetería
Good prices
A lot of sweets and snacks and soups",il y a 7 mois,"very good cafetería
good prices
a lot of sweets and snacks and soups"
Michel Gagnon,4 étoiles,"Service rapide courtois et de bon goût. Toujours apprécier pour repas léger ou pour emporter. Déception,  jet de noisettes ne sont plus disponible sur le marché des Tim Horton's 's . Bien dommage car j' en appréciais biem toute la saveur .",il y a 7 ans,"fast, courteous and tasteful service always appreciated for a light meal or to take away disappointment jet of hazelnuts are no longer available on the tim hortons market, a shame because I really appreciated all the flavor"
Venita S,5 étoiles,We had our first quick breakfast here in Montreal. The staff was very friendly and made our start of the day amazing 😊 we enjoyed our breakfast. There are seating areas and a washroom as well. It also has a nice streeview and was located a mins walk away from our hotel- perfect location.…,il y a 6 ans,we had our first quick breakfast here in montreal the staff was very friendly and made our start of the day amazing  we enjoyed our breakfast there are seating areas and a washroom as well it also has a nice streeview and was located a mins walk away from our hotel perfect location
Fatima Parveen,1 étoile,"ZERO, if possible... we visited this place, tired from toronto. Cashier Priyanka was rude and arrogant. didnt give us full order (we realized it after opening the package, after leaving)…",il y a 2 ans,zero if possible we visited this place tired from toronto cashier priyanka was rude and arrogant didnt give us full order we realized it after opening the package after leaving
Nicolas TAFZI,1 étoile,"Tim Hortons ou les employés vous font payer des supplément en vous dis as que c’est inclus dans le prix c’est honteux comme pratique.
Sont incapable de conseiller les clients comme il faut et méprise les clients.
N’y allez pas",il y a 2 ans,"tim hortons where the employees make you pay extra and tell you that it's included in the price, it's a shameful practice
are incapable of properly advising customers and despise customers
do not go"
Sylvain Guerin,1 étoile,Je ne sais pas pour quoi mais les Tim Horton sont devenus minables.  Service lent et minable nourriture pas cher et mibable. Bref ils ce passes le mot pour être plus minable les uns que les autres. Moi je me suis découragé. Fini pour moi service de nulle,il y a 4 ans,"I don't know why but the Tim Horton's have become lousy, slow and lousy service, cheap and lousy food, in short, they're spreading the word to be lousier than each other, I'm discouraged, it's over for me, lousy service"
Talal Alqarni,2 étoiles,The bathroom you can't enter is so disgusting,il y a 6 mois,the bathroom you cant enter is so disgusting
Ahmed Chahboune,5 étoiles,"I loved the hot chocolate better than Starbucks  , nice staff",il y a 3 ans,i loved the hot chocolate better than starbucks   nice staff
Aaron Trueman,2 étoiles,"Waited around until 505 in the rain on 19 Aug and the guy inside still didn’t open. Gave up, went to mcds. Got a plane to catch.",il y a 10 mois,waited around until 505 in the rain on 19 aug and the guy inside still didnt open gave up went to mcds got a plane to catch
Willis Curtis,1 étoile,"Got sick thanks to the food here. Never will put my foot there ever again, thanks. Staff however was courteous  and nice tho. 2/10",il y a un an,got sick thanks to the food here never will put my foot there ever again thanks staff however was courteous  and nice tho 210
Marielle G,4 étoiles,J'aime bien cet endroit qui propose un large choix de boissons et d aliments même si on dépasse vite les apports quotidiens en calories. J'avais un très bon souvenir du chocolat glacé consommé régulièrement l été 2015. Hélas il n est plus proposé cette année mais le cappuccino glacé le remplace bien.,il y a 5 ans,I like this place which offers a wide choice of drinks and foods even if we quickly exceed the daily calorie intake I had very good memories of the frozen chocolate consumed regularly in the summer of 2015 unfortunately it is no longer offered this year but the iced cappuccino the replaces well
Shahram Shams,4 étoiles,"Tim Hortons in Canada offers a quintessential experience of Canadian coffee culture. Known for its signature coffee, fresh donuts, and hearty breakfast options, Tim Hortons provides a reliable and accessible choice for locals and tourists alike.",il y a 8 mois,tim hortons in canada offers a quintessential experience of canadian coffee culture known for its signature coffee fresh donuts and hearty breakfast options tim hortons provides a reliable and accessible choice for locals and tourists alike
